telepulesnev;kshk5;jogallas;terulet;lakonepesseg;lakasszam;nepsuruseg
Békésszentandrás;02680;nagyközség;7 745;3 490;1 936;45,06
Bekölce;04400;község;1 377;577;338;41,90
Bélapátfalva;33260;város;3 663;2 950;1 119;80,54
Bélavár;06910;község;2 278;317;221;13,92
Belecska;28662;község;1 441;349;137;24,22
Beled;10588;város;2 647;2 610;1 098;98,60
Beleg;17127;község;1 799;597;225;33,19
Belezna;09168;község;3 093;723;287;23,38
Bélmegyer;19390;község;6 305;927;530;14,70
Beloiannisz;08466;község;454;1 037;433;228,41
Belsõsárd;20950;község;979;90;43;9,19
Belvárdgyula;19008;község;1 723;391;168;22,69
Benk;25441;község;850;441;175;51,88
Bénye;25098;község;1 652;1 241;512;75,12
Bér;32911;község;2 549;338;196;13,26
Bérbaltavár;32124;község;2 567;521;289;20,30
Bercel;02389;község;3 590;1 849;746;51,50
Beregdaróc;28246;község;2 382;977;345;41,02
Beregsurány;20677;község;1 601;987;230;61,65
Berekböszörmény;18467;község;4 284;1 905;762;44,47
Berekfürdõ;34005;község;1 857;977;522;52,61
Beremend;31927;nagyközség;4 826;2 370;1 012;49,11
Berente;34290;község;922;1 170;399;126,90
Beret;29674;község;677;276;91;40,77
Berettyóújfalu;12788;város;17 101;14 698;6 484;85,95
Berhida;33127;város;4 272;5 684;2 041;133,05
Berkenye;09034;község;1 346;643;276;47,77
Berkesd;16461;község;1 904;834;295;43,80
Berkesz;07472;község;1 318;872;304;66,16
Bernecebaráti;18777;község;3 769;855;454;22,69
Berzék;26356;község;1 059;1 114;348;105,19
Berzence;30119;nagyközség;5 376;2 528;964;47,02
Besence;30049;község;958;106;44;11,06
Besenyõd;13639;község;945;744;255;78,73
Besenyõtelek;27517;község;4 910;2 560;1 087;52,14
Besenyszög;11305;város;13 808;3 279;1 422;23,75
Besnyõ;16346;község;4 464;1 720;689;38,53
Beszterec;21227;község;1 159;1 014;371;87,49
Bezedek;14119;község;1 136;202;104;17,78
Bezenye;29805;község;3 003;1 331;571;44,32
Bezeréd;12830;község;1 214;117;149;9,64
Bezi;10560;község;1 121;512;203;45,67
Biatorbágy;08891;város;4 412;13 132;4 836;297,64
Bicsérd;13310;község;1 975;1 004;367;50,84
Bicske;10481;város;7 708;12 100;4 130;156,98
Bihardancsháza;25256;község;831;187;101;22,50
Biharkeresztes;19956;város;4 926;4 068;1 638;82,58
Biharnagybajom;24828;község;6 135;2 694;1 108;43,91
Bihartorda;29887;község;2 238;920;405;41,11
Biharugra;29610;község;5 284;896;556;16,96
Bikács;11970;község;3 467;443;206;12,78
Bikal;04899;község;1 703;698;325;40,99
Biri;02945;község;2 259;1 385;511;61,31
Birján;05139;község;907;503;205;55,46
Bisse;24925;község;1 380;205;112;14,86
Boba;29203;község;1 095;808;326;73,79
Bocfölde;17543;község;873;1 121;421;128,41
Boconád;22354;község;2 956;1 289;639;43,61
Bócsa;08305;község;9 704;1 830;877;18,86
Bocska;31291;község;738;302;135;40,92
Bocskaikert;34102;község;1 089;3 213;1 287;295,04
Boda;20899;község;1 542;417;173;27,04
Bodajk;18254;város;2 898;4 005;1 543;138,20
Bodmér;11624;község;717;227;109;31,66
Bodolyabér;33002;község;909;199;121;21,89
Bodonhely;06220;község;1 110;319;163;28,74
Bodony;14933;község;2 896;718;447;24,79
Bodorfa;04321;község;222;89;55;40,09
Bodrog;10506;község;1 478;362;185;24,49
Bodroghalom;23737;község;2 686;1 359;526;50,60
Bodrogkeresztúr;30784;község;2 988;1 095;546;36,65
Bodrogkisfalud;33808;község;1 467;862;430;58,76
Bodrogolaszi;14401;község;2 061;873;387;42,36
Bódvalenke;27429;község;663;225;60;33,94
Bódvarákó;33303;község;922;68;79;7,38
Bódvaszilas;05926;község;1 922;1 048;470;54,53
Bogács;25195;község;2 469;1 905;970;77,16
Bogád;32151;község;784;952;396;121,43
Bogádmindszent;21892;község;1 158;398;138;34,37
Bogdása;10694;község;2 099;248;123;11,82
Bogyiszló;03425;község;5 593;2 117;914;37,85
Bogyoszló;04367;község;2 622;608;312;23,19
Bojt;14137;község;2 688;557;206;20,72
Bókaháza;19929;község;670;256;142;38,21
Bokod;07311;község;2 993;2 033;806;67,93
Bokor;03841;község;675;109;68;16,15
Boldog;03452;község;2 674;2 922;1 170;109,27
Boldogasszonyfa;13116;község;1 722;374;212;21,72
Boldogkõújfalu;18944;község;1 098;587;207;53,46
Boldogkõváralja;14474;község;2 200;1 107;419;50,32
Boldva;08396;község;2 834;2 312;790;81,58
Bolhás;13994;község;3 143;418;184;13,30
Bolhó;18120;község;2 507;745;392;29,72
Bóly;33154;város;2 538;3 851;1 509;151,73
Boncodfölde;10782;község;590;338;131;57,29
Bonyhád;06497;város;7 214;13 210;5 585;183,12
Bonyhádvarasd;14818;község;1 045;410;159;39,23
Bonnya;22673;község;1 462;228;141;15,60
Bordány;08192;nagyközség;3 648;3 290;1 491;90,19
Borgáta;03090;község;621;162;105;26,09
Borjád;06725;község;1 559;404;153;25,91
Borota;19327;község;8 180;1 338;766;16,36
Borsfa;10056;község;1 183;691;292;58,41
Borsodbóta;30669;község;813;874;344;107,50
Borsodgeszt;16124;község;1 506;264;175;17,53
Borsodivánka;06707;község;1 589;708;250;44,56
Borsodnádasd;05315;város;2 807;3 129;1 348;111,47
Borsodszentgyörgy;30207;község;2 152;1 196;484;55,58
Borsodszirák;16799;község;1 101;1 166;386;105,90
Borsosberény;09894;község;2 026;929;386;45,85
Borszörcsök;04765;község;1 180;350;159;29,66
Borzavár;30252;község;1 300;673;333;51,77
Bosta;14368;község;595;136;52;22,86
Botpalád;22239;község;1 650;871;236;52,79
Botykapeterd;13365;község;1 743;342;129;19,62
Bozzai;06390;község;443;313;120;70,65
Bozsok;05023;község;2 091;353;150;16,88
Bózsva;31006;község;1 639;171;117;10,43
Bõ;05476;község;1 065;752;316;70,61
Bõcs;05306;község;2 432;2 635;949;108,35
Böde;22877;község;917;280;122;30,53
Bödeháza;04163;község;667;39;57;5,85
Bögöt;11651;község;499;378;165;75,75
Bögöte;07296;község;2 074;267;162;12,87
Böhönye;26532;község;6 417;2 230;948;34,75
Bököny;11299;község;3 547;3 025;1 203;85,28
Bölcske;06558;község;5 878;2 742;1 267;46,65
Bõny;33950;község;5 042;2 150;795;42,64
Börcs;06619;község;1 276;1 295;458;101,49
Börzönce;21139;község;560;49;35;8,75
Bõsárkány;15501;nagyközség;2 332;2 100;801;90,05
Bõszénfa;26277;község;4 295;519;192;12,08
Bucsa;13471;község;5 582;2 137;973;38,28
Bucsu;32984;község;1 654;543;214;32,83
Búcsúszentlászló;20613;község;154;771;293;500,65
Bucsuta;07986;község;1 619;198;109;12,23
Budajenõ;03407;község;1 242;1 890;628;152,17
Budakalász;23463;város;1 517;10 834;3 991;714,17
Budakeszi;12052;város;3 710;14 182;5 615;382,26
Budaörs;23278;város;2 359;28 677;10 974;1215,64
Budapest;13578;fõváros ;52 514;1 752 704;913 858;3337,59
Budapest 01. ker.;09566;fõvárosi kerület;341;25 219;17 024;7395,60
Budapest 02. ker.;03179;fõvárosi kerület;3 634;89 889;48 986;2473,56
Budapest 03. ker.;18069;fõvárosi kerület;3 970;130 175;63 107;3278,97
Budapest 04. ker.;05467;fõvárosi kerület;1 882;101 480;47 207;5392,14
Budapest 05. ker.;13392;fõvárosi kerület;259;25 917;19 740;10006,56
Budapest 06. ker.;16586;fõvárosi kerület;238;38 406;27 964;16136,97
Budapest 07. ker.;29744;fõvárosi kerület;209;53 045;36 966;25380,38
Budapest 08. ker.;25405;fõvárosi kerület;685;76 152;45 185;11117,08
Budapest 09. ker.;29586;fõvárosi kerület;1 253;59 483;40 431;4747,25
Budapest 10. ker.;10700;fõvárosi kerület;3 249;77 906;38 771;2397,85
Budapest 11. ker.;14216;fõvárosi kerület;3 349;150 978;79 082;4508,15
Budapest 12. ker.;24697;fõvárosi kerület;2 667;57 656;33 549;2161,83
Budapest 13. ker.;24299;fõvárosi kerület;1 344;119 575;73 889;8896,95
Budapest 14. ker.;16337;fõvárosi kerület;1 813;123 990;72 840;6838,94
Budapest 15. ker.;11314;fõvárosi kerület;2 694;80 061;37 300;2971,83
Budapest 16. ker.;08208;fõvárosi kerület;3 351;73 783;31 160;2201,82
Budapest 17. ker.;02112;fõvárosi kerület;5 482;87 773;33 390;1601,11
Budapest 18. ker.;29285;fõvárosi kerület;3 860;101 757;43 940;2636,19
Budapest 19. ker.;04011;fõvárosi kerület;938;60 131;27 317;6410,55
Budapest 20. ker.;06026;fõvárosi kerület;1 219;65 454;31 057;5369,48
Budapest 21. ker.;13189;fõvárosi kerület;2 575;76 500;33 337;2970,87
Budapest 22. ker.;10214;fõvárosi kerület;3 425;54 515;22 898;1591,68
Budapest 23. ker.;34139;fõvárosi kerület;4 077;22 859;8 718;560,68
Bugac;32823;nagyközség;13 111;2 645;1 404;20,17
Bugacpusztaháza;33631;község;4 300;254;141;5,91
Bugyi;32027;nagyközség;11 555;5 150;2 074;44,57
Buj;19707;község;3 276;2 207;965;67,37
Buják;14234;község;5 304;2 157;907;40,67
Buzsák;17358;község;5 968;1 318;654;22,08
Bük;02431;város;2 086;3 618;1 447;173,44
Bükkábrány;13596;község;1 802;1 664;692;92,34
Bükkaranyos;27890;község;2 620;1 527;540;58,28
Bükkmogyorósd;19406;község;990;125;102;12,63
Bükkösd;23162;község;3 015;1 072;440;35,56
Bükkszék;02963;község;1 530;692;420;45,23
Bükkszenterzsébet;10621;község;2 486;994;470;39,98
Bükkszentkereszt;08022;község;2 697;1 164;519;43,16
Bükkszentmárton;22099;község;826;267;128;32,32
Bükkzsérc;32887;község;3 725;929;514;24,94
Bürüs;07533;község;1 630;64;39;3,93
Büssü;08703;község;1 719;406;153;23,62
Büttös;23977;község;1 818;148;100;8,14
Cák;08271;község;648;263;122;40,59
Cakóháza;27085;község;288;50;29;17,36
Cece;13152;nagyközség;5 885;2 581;1 123;43,86
Cégénydányád;09681;község;1 219;629;281;51,60
Cegléd;11341;város;24 487;35 537;15 624;145,13
Ceglédbercel;20640;község;2 815;4 267;1 699;151,58
Celldömölk;27094;város;5 239;10 694;4 771;204,12
Cered;03665;község;3 858;1 068;553;27,68
Chernelházadamonya;09876;község;785;183;103;23,31
Cibakháza;22938;nagyközség;3 821;3 918;1 949;102,54
Cigánd;03939;város;5 676;3 049;1 116;53,72
Cikó;19284;község;1 986;829;343;41,74
Cirák;15954;község;1 176;559;268;47,53
Cún;11086;község;1 843;226;98;12,26
Csabacsûd;31334;nagyközség;6 685;1 737;833;25,98
Csabaszabadi;34078;község;3 271;274;168;8,38
Csabdi;30544;község;1 702;1 233;455;72,44
Csabrendek;30924;nagyközség;4 493;2 988;1 093;66,50
Csáfordjánosfa;10047;község;528;216;101;40,91
Csaholc;12928;község;1 935;707;178;36,54
Csajág;16072;község;2 229;843;340;37,82
Csákány;03799;község;1 609;229;176;14,23
Csákánydoroszló;03911;község;2 661;1 746;599;65,61
Csákberény;05360;község;4 137;1 157;525;27,97
Csákvár;20002;város;11 876;5 258;2 000;44,27
Csanádalberti;02121;község;1 532;425;242;27,74
Csanádapáca;20455;község;5 130;2 461;1 348;47,97
Csanádpalota;05379;város;7 792;2 794;1 563;35,86
Csánig;26772;község;819;323;179;39,44
Csány;16841;község;4 789;2 071;979;43,24
Csányoszró;19901;község;2 856;619;265;21,67
Csanytelek;22293;község;3 471;2 492;1 330;71,79
Csapi;06132;község;1 011;171;85;16,91
Csapod;08563;község;2 918;618;282;21,18
Csárdaszállás;25502;község;5 416;371;226;6,85
Csarnóta;30614;község;533;146;56;27,39
Csaroda;29416;község;2 468;588;245;23,82
Császár;16416;község;6 781;1 871;734;27,59
Császártöltés;10472;község;8 206;2 247;1 067;27,38
Császló;09715;község;1 018;350;152;34,38
Csátalja;26471;község;3 905;1 420;663;36,36
Csatár;23436;község;779;558;211;71,63
Csataszög;34175;község;1 121;288;132;25,69
Csatka;33109;község;1 777;222;169;12,49
Csávoly;16373;község;4 742;1 774;819;37,41
Csebény;21591;község;376;93;43;24,73
Csécse;30270;község;2 173;890;423;40,96
Csegöld;26107;község;1 935;646;263;33,39
Csehbánya;20251;község;1 283;293;132;22,84
Csehi;19488;község;934;224;145;23,98
Csehimindszent;12724;község;1 543;361;177;23,40
Csém;33640;község;628;399;167;63,54
Csemõ;05184;község;7 944;4 204;1 851;52,92
Csempeszkopács;23816;község;540;296;120;54,81
Csengele;32285;község;6 066;1 955;969;32,23
Csenger;30641;város;3 616;4 834;1 925;133,68
Csengersima;24095;község;2 380;775;303;32,56
Csengerújfalu;26851;község;2 561;1 091;336;42,60
Csengõd;12344;község;4 889;1 998;1 114;40,87
Csénye;09070;község;1 912;704;293;36,82
Csenyéte;08493;község;997;387;75;38,82
Csép;18272;község;2 004;338;152;16,87
Csépa;13170;község;2 967;1 600;847;53,93
Csepreg;12140;város;4 954;3 296;1 294;66,53
Csér;30191;község;293;25;22;8,53
Cserdi;26082;község;646;393;152;60,84
Cserénfa;25681;község;1 775;198;84;11,15
Cserépfalu;06974;község;4 465;975;610;21,84
Cserépváralja;25575;község;1 462;367;219;25,10
Cserháthaláp;21935;község;1 047;341;174;32,57
Cserhátsurány;22594;község;1 880;819;364;43,56
Cserhátszentiván;32319;község;1 066;111;128;10,41
Cserkeszõlõ;05795;község;3 070;2 249;1 495;73,26
Cserkút;03896;község;667;593;222;88,91
Csernely;28459;község;2 062;732;415;35,50
Cserszegtomaj;07135;község;1 260;3 003;1 233;238,33
Csertalakos;10649;község;199;19;29;9,55
Csertõ;13851;község;1 426;368;169;25,81
Csesznek;24642;község;2 421;524;232;21,64
Csesztreg;02583;község;2 300;810;357;35,22
Csesztve;20145;község;1 625;328;185;20,18
Csetény;31699;község;1 837;1 859;705;101,20
Csévharaszt;18476;község;4 924;1 888;713;38,34
Csibrák;11998;község;1 462;271;142;18,54
Csikéria;15699;község;2 584;813;480;31,46
Csikóstõttõs;30094;község;1 770;798;353;45,08
Csikvánd;13505;község;1 453;473;230;32,55
Csincse;34111;község;1 134;557;211;49,12
Csipkerek;26064;község;1 313;328;236;24,98
Csitár;05050;község;1 685;412;199;24,45
Csobád;05333;község;1 183;672;265;56,80
Csobaj;20774;község;1 961;658;321;33,55
Csobánka;06822;község;2 276;3 274;1 101;143,85
Csókakõ;21908;község;1 092;1 426;539;130,59
Csokonyavisonta;05971;község;8 129;1 546;653;19,02
Csokvaomány;14289;község;1 500;830;417;55,33
Csolnok;18926;község;1 871;3 034;1 293;162,16
Csólyospálos;12025;község;6 510;1 582;951;24,30
Csoma;08040;község;843;415;179;49,23
Csomád;33118;község;1 238;1 627;590;131,42
Csombárd;02477;község;899;251;109;27,92
Csongrád;05111;város;17 389;16 165;8 401;92,96
Csonkahegyhát;31149;község;828;314;142;37,92
Csonkamindszent;22576;község;553;150;62;27,12
Csopak;02185;község;2 398;1 752;897;73,06
Csór;09779;község;4 149;1 735;680;41,82
Csorna;04039;város;9 195;10 335;4 302;112,40
